state_id,fips,population
IN,18091,109888
IN,18093,45370
IN,18095,129569
IN,18097,964582
IN,18099,46258
IN,18101,10255
IN,18103,35516
IN,18105,148431
IN,18107,38338
IN,18109,70489
IN,18111,13984
IN,18113,47744
IN,18115,5875
IN,18117,19646
IN,18119,20799
IN,18121,16937
IN,18123,19169
IN,18125,12389
IN,18127,170389
IN,18129,25427
IN,18131,12353
IN,18133,37576
IN,18135,24665
IN,18137,28324
IN,18139,16581
IN,18141,271826
IN,18143,23873
IN,18145,44729
IN,18147,20277
IN,18149,22995
IN,18151,34594
IN,18153,20669
IN,18155,10751
IN,18157,195732
IN,18159,15148
IN,18161,7054
IN,18163,181451
IN,18165,15498
IN,18167,107038
IN,18169,30996
IN,18171,8265
IN,18173,62998
IN,18175,28036
IN,18177,65884
IN,18179,28296
IN,18181,24102
IN,18183,33964
IA,00019,3155070
IA,19001,7152
IA,19003,3602
IA,19005,13687
IA,19007,12426
IA,19009,5496
IA,19011,25645
IA,19013,131228
IA,19015,26234
IA,19017,25062
IA,19019,21175
IA,19021,19620
IA,19023,14439
IA,19025,9668
IA,19027,20165
IA,19029,12836
IA,19031,18627
IA,19033,42450
IA,19035,11235
IA,19037,11933
IA,19039,9395
IA,19041,16016
IA,19043,17549
IA,19045,46429
IA,19047,16820
IA,19049,93453
IA,19051,9000
IA,19053,7870
IA,19055,17011
IA,19057,38967
IA,19059,17258
IA,19061,97311
IA,19063,9208
IA,19065,19650
IA,19067,15642
IA,19069,10070
IA,19071,6960
IA,19073,8888
IA,19075,12232
IA,19077,10689
IA,19079,14773
IA,19081,10630
IA,19083,16846
IA,19085,14049
IA,19087,19954
IA,19089,9158
IA,19091,9558
IA,19093,6860
IA,19095,16184
IA,19097,19439
IA,19099,37185
IA,19101,18295
IA,19103,151140
IA,19105,20681
IA,19107,10246
IA,19109,14813
IA,19111,33657
IA,19113,226706
IA,19115,11035
IA,19117,8600
IA,19119,11755
IA,19121,16338
IA,19123,22095
IA,19125,33253
IA,19127,39369
IA,19129,15109
IA,19131,10586
IA,19133,8615
IA,19135,7707
IA,19137,9917
IA,19139,42664
IA,19141,13753
IA,19143,5958
IA,19145,15107
IA,19147,8886
IA,19149,25177
IA,19151,6619
IA,19153,490161
IA,19155,93206
IA,19157,18504
IA,19159,4894
IA,19161,9721
IA,19163,172943
IA,19165,11454
IA,19167,34855
IA,19169,97117
IA,19171,16854
IA,19173,6121
IA,19175,12241
IA,19177,7044
IA,19179,34969
IA,19181,51466
IA,19183,21965
IA,19185,6441
IA,19187,35904
IA,19189,10354
IA,19191,19991
IA,19193,103107
IA,19195,7381
IA,19197,12562
KS,00020,2913314
KS,20001,12369
KS,20003,7858
KS,20005,16073
KS,20007,4427
KS,20009,25779
KS,20011,14534
KS,20013,9564
KS,20015,66911
KS,20017,2648
KS,20019,3250
KS,20021,19939
KS,20023,2657
KS,20025,1994
KS,20027,8002
KS,20029,8786
KS,20031,8179
KS,20033,1700
KS,20035,34908
KS,20037,38818
KS,20039,2827
KS,20041,18466
KS,20043,7600
KS,20045,122259
KS,20047,2798
KS,20049,2530
KS,20051,28553
KS,20053,6102
KS,20055,36467
KS,20057,33619
KS,20059,25544
KS,20061,31670
KS,20063,2636
KS,20065,2482
KS,20067,7150
KS,20069,5988
KS,20071,1232
KS,20073,5982
KS,20075,2539
KS,20077,5436
KS,20079,34429
KS,20081,3968
KS,20083,1794
KS,20085,13171
KS,20087,19043
KS,20089,2879
KS,20091,602401
KS,20093,3838
KS,20095,7152
KS,20097,2475
KS,20099,19618
KS,20101,1535
KS,20103,81758
KS,20105,2962
KS,20107,9703
KS,20109,2794
KS,20111,33195
KS,20113,28542
KS,20115,11884
KS,20117,9707
KS,20119,4033
KS,20121,34237
KS,20123,5979
KS,20125,31829
KS,20127,5620
KS,20129,2587
KS,20131,10231
KS,20133,16007
KS,20135,2750
KS,20137,5361
KS,20139,15949
KS,20141,3421
KS,20143,5704
KS,20145,6414
KS,20147,5234
KS,20149,24383
KS,20151,9164
KS,20153,2530
KS,20155,61998
KS,20157,4636
KS,20159,9537
KS,20161,74232
KS,20163,4920
KS,20165,3036
KS,20167,6856
KS,20169,54224
KS,20171,4823
KS,20173,516042
KS,20175,21428
KS,20177,176875
KS,20179,2521
KS,20181,5917
KS,20183,3583
KS,20185,4156
KS,20187,2006
KS,20189,5485
KS,20191,22836
KS,20193,7777
KS,20195,2803
KS,20197,6931
KS,20199,1518
KS,20201,5406
KS,20203,2119
KS,20205,8525
KS,20207,3138
KS,20209,165429
KY,00021,4467673
KY,21001,19202
KY,21003,21315
KY,21005,22747
KY,21007,7888
KY,21009,44249
KY,21011,12500
KY,21013,26032
KY,21015,133581
KY,21017,19788
KY,21019,46718
KY,21021,30060
KY,21023,8303
KY,21025,12630
KY,21027,20477
KY,21029,81676
KY,21031,12879
KY,21033,12747
KY,21035,39001
KY,21037,93584
KY,21039,4760
KY,21041,10631
KY,21043,26797
KY,21045,16159
KY,21047,70461
KY,21049,36263
KY,21051,19901
KY,21053,10218
KY,21055,8806
KY,21057,6614
KY,21059,101511
KY,21061,12150
KY,21063,7517
KY,21065,14106
KY,21067,323152
KY,21069,14581
KY,21071,35589
KY,21073,50991
KY,21075,5969
KY,21077,8869
KY,21079,17666
KY,21081,25069
KY,21083,37266
KY,21085,26427
KY,21087,10941
KY,21089,35098
KY,21091,8722
KY,21093,110958
KY,21095,26010
KY,21097,18886
KY,21099,19035
KY,21101,45210
KY,21103,16126
KY,21105,4380
KY,21107,44686
KY,21109,13329
KY,21111,766757
KY,21113,54115
KY,21115,22188
KY,21117,166998
KY,21119,14806
KY,21121,31145
KY,21123,14398
KY,21125,60813
KY,21127,15317
KY,21129,7403
KY,21131,9877
KY,21133,21553
KY,21135,13275
KY,21137,24549
KY,21139,9194
KY,21141,27102
KY,21143,8210
KY,21145,65418
KY,21147,17231
KY,21149,9207
KY,21151,92987
KY,21153,12161
KY,21155,19273
KY,21157,31100
KY,21159,11195
KY,21161,17070
KY,21163,28572
KY,21165,6489
KY,21167,21933
KY,21169,10071
KY,21171,10650
KY,21173,28157
KY,21175,13309
KY,21177,30622
KY,21179,46233
KY,21181,7269
KY,21183,23994
KY,21185,66799
KY,21187,10901
KY,21189,4415
KY,21191,14590
KY,21193,25758
KY,21195,57876
KY,21197,12359
KY,21199,64979
KY,21201,2108
KY,21203,16695
KY,21205,24460
KY,21207,17923
KY,21209,57004
KY,21211,49024
KY,21213,18572
KY,21215,19351
KY,21217,25769
KY,21219,12294
KY,21221,14651
KY,21223,8471
KY,21225,14381
KY,21227,132896
KY,21229,12095
KY,21231,20333
KY,21233,12942
KY,21235,36264
KY,21237,7157
KY,21239,26734
LA,00022,4648794
LA,22001,62045
LA,22003,25627
LA,22005,126604
LA,22007,21891
LA,22009,40144
LA,22011,37497
LA,22013,13241
LA,22015,127039
LA,22017,240204
LA,22019,203436
LA,22021,9918
LA,22023,6973
LA,22025,9494
LA,22027,15670
LA,22029,19259
LA,22031,27463
LA,22033,440059
LA,22035,6861
LA,22037,19135
LA,22039,33395
LA,22041,20015
LA,22043,22389
LA,22045,69830
LA,22047,32511
LA,22049,15744
LA,22051,432493
LA,22053,31368
LA,22055,244390
LA,22057,97614
LA,22059,14892
LA,22061,46742
LA,22063,140789
LA,22065,10951
LA,22067,24874
LA,22069,38158
LA,22071,390144
LA,22073,153279
LA,22075,23197
LA,22077,21730
LA,22079,129648
LA,22081,8442
LA,22083,20122
LA,22085,23884
LA,22087,47244
LA,22089,53100
LA,22091,10132
LA,22093,21096
LA,22095,42837
LA,22097,82124
LA,22099,53431
LA,22101,49348
LA,22103,260419
LA,22105,134758
LA,22107,4334
LA,22109,110461
LA,22111,22108
LA,22113,59511
LA,22115,47429
LA,22117,46194
LA,22119,38340
LA,22121,26465
LA,22123,10830
LA,22125,15568
LA,22127,13904
ME,00023,1344212
ME,23001,108277
ME,23003,67055
ME,23005,295003
ME,23007,30199
ME,23009,54987
ME,23011,122302
ME,23013,39772
ME,23015,34634
ME,23017,57975
ME,23019,152148
ME,23021,16785
ME,23023,35856
ME,23025,50484
ME,23027,39715
ME,23029,31379
ME,23031,207641
MD,00024,6045680
MD,24001,70416
MD,24003,579234
MD,24005,827370
MD,24009,92525
MD,24011,33406
MD,24013,168447
MD,24015,102855
MD,24017,163257
MD,24019,31929
MD,24021,259547
MD,24023,29014
MD,24025,255441
MD,24027,325690
MD,24029,19422
MD,24031,1050688
MD,24033,909327
MD,24035,50381
MD,24037,113510
MD,24039,25616
MD,24041,37181
MD,24043,151049
MD,24045,103609
MD,24047,52276
MD,24510,593490
MA,00025,6892503
MA,25001,212990
MA,25003,124944
MA,25005,565217
MA,25007,17332
MA,25009,789034
MA,25011,70180
MA,25013,466372
MA,25015,160830
MA,25017,1611699
MA,25019,11399
MA,25021,706775
MA,25023,521202
MA,25025,803907
MA,25027,830622
MI,00026,9986857
MI,26001,10405
MI,26003,9108
MI,26005,118081
MI,26007,28405
MI,26009,23324
MI,26011,14883
MI,26013,8209
MI,26015,61550
MI,26017,103126
MI,26019,17766
MI,26021,153401
MI,26023,43517
MI,26025,134159
MI,26027,51787
MI,26029,26143
MI,26031,25276
MI,26033,37349
MI,26035,30950
MI,26037,79595
MI,26039,14029
MI,26041,35784
MI,26043,25239
MI,26045,110268
MI,26047,33415
MI,26049,405813
MI,26051,25449
MI,26053,13975
MI,26055,93088
MI,26057,40711
MI,26059,45605
MI,26061,35684
MI,26063,30981
MI,26065,292406
MI,26067,64697
MI,26069,25127
MI,26071,11066
MI,26073,69872
MI,26075,158510
MI,26077,265066
MI,26079,18038
MI,26081,656955
MI,26083,2116
MI,26085,11853
MI,26087,87607
MI,26089,21761
MI,26091,98451
MI,26093,191995
MI,26095,6229
MI,26097,10799
MI,26099,873972
MI,26101,24558
MI,26103,66699
MI,26105,29144
MI,26107,43453
MI,26109,22780
MI,26111,83156
MI,26113,15118
MI,26115,150500
MI,26117,63888
MI,26119,9328
MI,26121,173566
MI,26123,48980
MI,26125,1257584
MI,26127,26467
MI,26129,20997
MI,26131,5720
MI,26133,23460
MI,26135,8241
MI,26137,24668
MI,26139,291830
MI,26141,12592
MI,26143,24019
MI,26145,190539
MI,26147,159128
MI,26149,60964
MI,26151,41170
MI,26153,8094
MI,26155,68122
